Wed Nov  1 11:21:16 2023    result/profile_binary.txt

         514503093 function calls (514502921 primitive calls) in 553.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/textwrap.py:419(dedent)
        1    0.000    0.000    0.001    0.001 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:64(_make_options_dict)
        6    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2512(cumsum)
      104    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:989(<genexpr>)
       40    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       21    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_methods.py:47(_sum)
        2    0.000    0.000    0.001    0.000 <frozen os>:773(getenv)
      146    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       18    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2421(all)
        6    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_methods.py:101(_mean)
      103    0.000    0.000    0.001    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:739(_extendLine)
        2    0.001    0.000    0.001    0.000 {function SeedSequence.generate_state at 0x7f7e269805e0}
        3    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/lib/format.py:414(_write_array_header)
        2    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:555(is_satisfied_by)
        1    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/__init__.py:178(sub)
       73    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/contextlib.py:132(__enter__)
       10    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:467(is_satisfied_by)
       22    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
       73    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/contextlib.py:104(__init__)
       15    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/numeric.py:2378(array_equal)
        2    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
       73    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/contextlib.py:141(__exit__)
      144    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
       47    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/__init__.py:728(gen_batches)
      229    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
      6/2    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/re/_compiler.py:37(_compile)
       17    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
       36    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
        1    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:187(get_version)
      109    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/scipy/sparse/_base.py:1301(isspmatrix)
      206    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      104    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:984(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
       10    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:446(__contains__)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3385(mean)
       20    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/inspect.py:2686(__init__)
       38    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/numerictypes.py:357(issubdtype)
       33    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/_methods.py:61(_all)
1051/1045    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       91    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/subprocess.py:1686(_get_handles)
       18    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.generic' objects}
        6    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1332(searchsorted)
        3    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/lib/format.py:390(_wrap_header_guess_version)
        2    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/validation.py:1716(_check_sample_weight)
        1    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/subprocess.py:1282(_close_pipe_fds)
        1    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/subprocess.py:1092(__exit__)
       36    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:176(set_num_threads)
        3    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/lib/format.py:366(_wrap_header)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        2    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:440(__exit__)
        2    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:450(restore_original_limits)
        6    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/core/arrayprint.py:403(_get_formatdict)
        6    0.000    0.000    0.000    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
